runs=8 blocks=62230 flaky_blocks=21 flaky_statements=22

internal/orchestrate: 9 blocks, 9 stmts
  internal/orchestrate/ciwait.go:132.5,132.84  covered 1/8  (1 stmt)
  internal/orchestrate/ciwait.go:133.6,134.1  covered 1/8  (1 stmt)
  internal/orchestrate/ciwait.go:153.5,153.84  covered 6/8  (1 stmt)
  internal/orchestrate/ciwait.go:154.6,155.1  covered 6/8  (1 stmt)
  internal/orchestrate/ciwait.go:477.4,478.1  covered 3/8  (1 stmt)
  internal/orchestrate/ciwait.go:487.3,488.1  covered 3/8  (1 stmt)
  internal/orchestrate/ciwait.go:491.3,492.1  covered 3/8  (1 stmt)
  internal/orchestrate/ciwait.go:894.3,895.1  covered 2/8  (1 stmt)
  internal/orchestrate/ciwait.go:905.3,906.1  covered 1/8  (1 stmt)

internal/runqueue: 3 blocks, 4 stmts
  internal/runqueue/heavy.go:150.3,152.1  covered 3/8  (2 stmt)
  internal/runqueue/heavy.go:242.4,242.40  covered 3/8  (1 stmt)
  internal/runqueue/heavy.go:245.4,245.12  covered 3/8  (1 stmt)

cmd/wb: 3 blocks, 3 stmts
  cmd/wb/daemon.go:2554.3,2555.1  covered 5/8  (1 stmt)
  cmd/wb/daemon.go:993.3,993.33  covered 7/8  (1 stmt)
  cmd/wb/daemon.go:997.3,997.36  covered 7/8  (1 stmt)

internal/worktrees: 3 blocks, 3 stmts
  internal/worktrees/worklog.go:3571.4,3572.1  covered 6/8  (1 stmt)
  internal/worktrees/worklog.go:3584.3,3584.120  covered 6/8  (1 stmt)
  internal/worktrees/worklog.go:3587.3,3587.13  covered 6/8  (1 stmt)

hub: 1 blocks, 1 stmts
  hub/peer_admin.go:173.4,174.1  covered 7/8  (1 stmt)

internal/sessionmove: 1 blocks, 1 stmts
  internal/sessionmove/store.go:829.5,829.13  covered 1/8  (1 stmt)

internal/sessionpark: 1 blocks, 1 stmts
  internal/sessionpark/target_store.go:558.4,559.1  covered 6/8  (1 stmt)
